date,open,high,low,close,volume
2026-04-06,256.5100,262.1600,256.4600,258.8600,29329900
2026-04-07,256.1600,256.2000,245.7000,253.5000,62148000
2026-04-08,258.4500,259.7500,256.5300,258.9000,41032800
2026-04-09,259.0000,261.1200,256.0700,260.4900,28121600
2026-04-10,259.9800,262.1900,259.0200,260.4800,31291500
2026-04-13,259.7300,260.1800,256.6600,259.2000,36234700
2026-04-14,259.2500,261.9300,257.1900,258.8300,48370700
2026-04-15,258.1600,266.5600,257.8100,266.4300,49913500
2026-04-16,266.8000,267.1600,261.2700,263.4000,43323100
2026-04-17,266.9600,272.3000,266.7200,270.2300,61436200
2026-04-20,270.3300,274.2800,270.2900,273.0500,36590200
2026-04-21,271.5000,272.8000,265.4000,266.1700,50209800
2026-04-22,267.8200,273.7400,266.8700,273.1700,42729584
